scenario,time_s,node_count,tx_per_node_per_min,rmse_m
few_moving,133,20,177,15.429834007825717
few_moving,134,20,150,15.408119403761816
few_moving,135,20,159,15.388011048388373
few_moving,136,20,171,15.366145992802016
few_moving,137,20,150,15.348111599436477
few_moving,138,20,102,15.3325667601647
few_moving,139,20,117,15.31831225799093
few_moving,140,20,84,15.284724469114058
few_moving,141,20,93,15.258464939393834
few_moving,142,20,114,15.225549222121668
few_moving,143,20,87,15.19986285048882
few_moving,144,20,87,15.177706983327196
few_moving,145,20,93,15.162604906907596
few_moving,146,20,90,15.146323568683819
few_moving,147,20,108,15.128015686529672
few_moving,148,20,108,11.16952344174591
few_moving,149,20,147,11.08969618370637
few_moving,150,20,168,11.009904940780283
few_moving,151,20,210,10.930792402428935
few_moving,152,20,207,10.84621905539033
few_moving,153,20,210,10.75386255444839
few_moving,154,20,207,10.65656623363332
few_moving,155,20,198,10.548530520041165
few_moving,156,20,153,10.453020171504512
few_moving,157,20,141,10.366976173397948
few_moving,158,20,141,10.289651171360326
few_moving,159,20,144,10.216016675202413
few_moving,160,20,144,10.130969766315877
few_moving,161,20,126,10.056388117833805
few_moving,162,20,120,9.990263023917986
few_moving,163,20,111,9.932552920779495
few_moving,164,20,114,9.874494038773664
few_moving,165,20,102,9.825213435033104
few_moving,166,20,78,9.780383625107136
few_moving,167,20,69,9.737466600865465
few_moving,168,20,72,9.699648156665901
few_moving,169,20,84,9.654965463940268
few_moving,170,20,122.99999999999999,9.606822677176375
few_moving,171,20,153,9.556117425185635
few_moving,172,20,132,9.512525794342018
few_moving,173,20,138,9.47067015341745
few_moving,174,20,141,9.434945620068092
few_moving,175,20,150,9.40306827940462
few_moving,176,20,132,9.358692245060883
few_moving,177,20,87,9.32532420085451
few_moving,178,20,93,9.29917681453403
few_moving,179,20,96,9.280124226467965
few_moving,180,20,93,9.264088707724879
few_moving,181,20,102,9.233848765718772
few_moving,182,20,129,9.202461849709227
few_moving,183,20,144,9.187263689367546
few_moving,184,20,201,9.139368340212586
few_moving,185,20,204,9.091084238426552
few_moving,186,20,201,9.05203120011668
few_moving,187,20,141,9.01644303462707
few_moving,188,20,156,8.975034021826652
few_moving,189,20,135,8.937745804410445
few_moving,190,20,120,8.910391119997156
few_moving,191,20,93,8.888526331168196
few_moving,192,20,99,8.876136784595637
few_moving,193,20,87,8.86686600223475
few_moving,194,20,69,8.856634141234682
few_moving,195,20,72,8.850343359980563
few_moving,196,20,63,8.84791188862213
few_moving,197,20,57,8.846953617424338
few_moving,198,20,57,8.84405709572832
few_moving,199,20,51,8.831702617908043
few_moving,200,20,54,8.824708572687449
few_moving,201,20,84,8.812187904642572
few_moving,202,20,72,8.802381807127103
few_moving,203,20,54,8.794619793696995
few_moving,204,20,24,8.789501297790618
few_moving,205,20,36,8.781331704643526
few_moving,206,20,33,8.775377636576842
few_moving,207,20,18,8.757495187291404
few_moving,208,20,24,8.741439889149536
few_moving,209,20,21,8.73044783715535
few_moving,210,20,30,8.72164911038566
